当前倍镜,4x
曝光时间,沿用相机当前设置
最小调焦范围,-2063120
最大调焦范围,-1769500
范围来源,motor.objective_ranges.4x

序号,位置,清晰度
1,-1993805.7204,2.8159
2,-1967330.0216,16.5916
3,-1964942.7093,18.5406
4,-1964030.8371,19.2384
5,-1963467.2692,22.0845
6,-1962555.3970,20.4669
7,-1961079.9569,21.8289
8,-1957217.2045,21.7310
9,-1950967.1398,19.0632
10,-1940854.3227,12.0466
11,-1924491.4409,7.1724
12,-1881652.8602,1.1407
