当前倍镜,4x
曝光时间,沿用相机当前设置
最小调焦范围,-2063120
最大调焦范围,-1769500
范围来源,motor.objective_ranges.4x

序号,位置,清晰度
1,-1950967.1398,0.0000
2,-1881652.8602,0.0000
3,-1838814.2796,0.0000
4,-1812338.5807,0.0000
5,-1795975.6989,0.0000
6,-1785862.8818,0.0000
7,-1779612.8171,0.0000
8,-1775750.0647,0.0000
9,-1773362.7524,0.0000
10,-1771887.3123,0.0000
11,-1770975.4401,0.0000
12,-1770411.8721,0.0000
