当前倍镜,10x
曝光时间,20000.0 us (camera.objective_settings.10x)
最小调焦范围,-3078604
最大调焦范围,-2918604
范围来源,motor.objective_ranges.10x

序号,位置,清晰度
1,-3075198.2022,62149.2658
2,-3073897.3032,60051.0955
3,-3073400.4040,61928.5849
4,-3073093.3034,64108.6297
5,-3072596.4042,60150.8148
6,-3071792.4044,61978.7959
7,-3069687.5056,62269.3127
8,-3064176.8090,60266.9974
9,-3055260.3146,59419.8081
10,-3040833.1236,57798.7183
11,-3017489.4382,53888.1006
12,-2979718.5618,51148.4184
