当前倍镜,10x
曝光时间,沿用相机当前设置
最小调焦范围,-2095551
最大调焦范围,-2028750
范围来源,motor.objective_ranges.10x

序号,位置,清晰度
1,-2070035.2885,3600.3263
2,-2064011.8461,4780.0689
3,-2060289.1539,8433.5223
4,-2059746.0205,8541.6334
5,-2059410.3455,9037.9204
6,-2059202.8870,9038.9992
7,-2059074.6706,8976.0365
8,-2058867.2121,9008.2103
9,-2057988.4037,8879.3115
10,-2056566.4618,8150.0047
11,-2054265.7115,7676.5042
12,-2044519.5770,5615.3223
